Task Name,List,Folder,Status,Priority,Tags
"Sistema de Login/Logout","Backend","Autenticação e Segurança","Planejado","Normal","backend,auth"
"Middleware de Auth JWT","Backend","Autenticação e Segurança","Planejado","Alta","backend,auth"
"Validação de Roles (Master/Admin/User)","Backend","Autenticação e Segurança","Planejado","Alta","backend,auth"
"Rate Limiting","Backend","Autenticação e Segurança","Planejado","Normal","backend,security"
"Auditoria de Logs","Backend","Autenticação e Segurança","Planejado","Normal","backend,audit"
"Gemini Service (Principal)","Backend","Motor de IA","Planejado","Alta","backend,ai"
"OpenAI Service (Fallback)","Backend","Motor de IA","Planejado","Normal","backend,ai"
"OpenRoute/Nexus Service (Fallback)","Backend","Motor de IA","Planejado","Normal","backend,ai"
"AI Service Factory","Backend","Motor de IA","Planejado","Alta","backend,ai"
"Sistema Anti-Cache para IA","Backend","Motor de IA","Planejado","Normal","backend,ai"
"Gestão de Créditos por Usuário","Backend","Sistema de Créditos","Planejado","Alta","backend,credits"
"Limite Mensal (2500 req/mês)","Backend","Sistema de Créditos","Planejado","Normal","backend,credits"
"Renovação Automática","Backend","Sistema de Créditos","Planejado","Normal","backend,credits"
"Conexão com Evolution API","Backend","Integração WhatsApp","Planejado","Alta","backend,whatsapp"
"Gestão de Sessões/QRCode","Backend","Integração WhatsApp","Planejado","Alta","backend,whatsapp"
"Processamento de Mídias Recebidas","Backend","Integração WhatsApp","Planejado","Alta","backend,whatsapp"
"Rotas WhatsApp","Backend","Integração WhatsApp","Planejado","Normal","backend,whatsapp"
"Serviço de Estatísticas","Backend","Dashboard Stats","Planejado","Normal","backend,dashboard"
"Logs de Análise","Backend","Dashboard Stats","Planejado","Normal","backend,dashboard"
"Serviço de Uso","Backend","Dashboard Stats","Planejado","Normal","backend,dashboard"
"Google Drive Service","Backend","Integrações Externas","Planejado","Baixa","backend,integration"
"Processador de Mensagens","Backend","Integrações Externas","Planejado","Normal","backend,integration"
"HomePage (Análise de Documentos)","Frontend","Páginas","Planejado","Alta","frontend,pages"
"Dashboard Master (Admin)","Frontend","Páginas","Planejado","Alta","frontend,pages"
"Dashboard Usuário","Frontend","Páginas","Planejado","Alta","frontend,pages"
"Página WhatsApp","Frontend","Páginas","Planejado","Alta","frontend,pages"
"Login","Frontend","Páginas","Planejado","Alta","frontend,pages"
"Registro","Frontend","Páginas","Planejado","Normal","frontend,pages"
"Recuperação de Senha","Frontend","Páginas","Planejado","Normal","frontend,pages"
"Header Responsivo","Frontend","Componentes Globais","Planejado","Normal","frontend,components"
"Sistema de Navegação","Frontend","Componentes Globais","Planejado","Normal","frontend,components"
"Cards de Estatísticas","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Gráfico de Barras","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Gráfico de Pizza","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Gráfico de Séries Temporais","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Card de Alertas","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Seletor de Período","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Tabela de Usuários","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Tabela de Análises IA","Frontend","Componentes Dashboard","Planejado","Normal","frontend,dashboard"
"Cliente Supabase","Frontend","Utilitários","Planejado","Alta","frontend,utils"
"API Utils","Frontend","Utilitários","Planejado","Normal","frontend,utils"
"Dashboard API","Frontend","Utilitários","Planejado","Normal","frontend,utils"
"Validação de Senha","Frontend","Utilitários","Planejado","Normal","frontend,utils"
"Estilos Globais","Frontend","Estilização e UX","Planejado","Normal","frontend,ux"
"Tailwind Config","Frontend","Estilização e UX","Planejado","Normal","frontend,ux"
"Animações e Transições","Frontend","Estilização e UX","Planejado","Baixa","frontend,ux"
"Dockerfile Backend","Infraestrutura","Deploy","Planejado","Alta","infra,deploy"
"Dockerfile Frontend","Infraestrutura","Deploy","Planejado","Alta","infra,deploy"
"Docker Compose","Infraestrutura","Deploy","Planejado","Alta","infra,deploy"
"Configuração Easypanel/VPS","Infraestrutura","Deploy","Planejado","Alta","infra,deploy"
"GitHub Actions","Infraestrutura","CI/CD","Planejado","Normal","infra,cicd"
"Testes Automatizados","Infraestrutura","CI/CD","Planejado","Normal","infra,cicd"
"Configuração RLS","Infraestrutura","Supabase","Planejado","Alta","infra,supabase"
"Migrations (SQL RPCs)","Infraestrutura","Supabase","Planejado","Alta","infra,supabase"
"Tabelas e Schema","Infraestrutura","Supabase","Planejado","Alta","infra,supabase"
"README.md","Infraestrutura","Documentação","Planejado","Baixa","infra,docs"
"CHANGELOG.md","Infraestrutura","Documentação","Planejado","Baixa","infra,docs"
"Variáveis de Ambiente (.env)","Infraestrutura","Documentação","Planejado","Normal","infra,docs"
"Reunião de Start","Reuniões","Milestones","Concluído","Alta","reunioes"
"Apresentação da Primeira Versão","Reuniões","Milestones","Planejado","Alta","reunioes"
"Revisões de Sprint","Reuniões","Milestones","Planejado","Normal","reunioes"
"Retrospectivas","Reuniões","Milestones","Planejado","Normal","reunioes"
"MVP Funcional","Reuniões","Milestones","Planejado","Urgente","milestone"
"Versão Beta","Reuniões","Milestones","Planejado","Alta","milestone"
"Lançamento Produção","Reuniões","Milestones","Planejado","Urgente","milestone"
